state,date,res_dex,num_devices
KY,2020-04-07,39.663502,319794
KY,2020-04-08,40.6292,319263
KY,2020-04-09,38.5718,317512
KY,2020-04-10,48.500702,313683
KY,2020-04-11,40.949501,310275
KY,2020-04-12,16.226299,300619
KY,2020-04-13,30.442801,303736
KY,2020-04-14,28.8375,265870
KY,2020-04-15,30.770201,258671
KY,2020-04-16,29.8981,257560
KY,2020-04-17,33.6152,260330
KY,2020-04-18,39.708,267102
KY,2020-04-19,24.687599,293166
KY,2020-04-20,34.797401,301326
KY,2020-04-21,39.875099,301433
KY,2020-04-22,41.224098,296255
KY,2020-04-23,31.6724,288905
KY,2020-04-24,46.816002,298117
KY,2020-04-25,42.9645,304240
KY,2020-04-26,26.235001,295467
KY,2020-04-27,41.7728,292763
KY,2020-04-28,42.077702,296631
KY,2020-04-29,35.698799,294516
KY,2020-04-30,34.2878,289814
KY,2020-05-01,47.4105,290411
KY,2020-05-02,51.7719,300598
KY,2020-05-03,30.512501,299901
KY,2020-05-04,50.647202,298514
KY,2020-05-05,45.346401,296061
KY,2020-05-06,45.133598,298822
KY,2020-05-07,51.866901,298008
KY,2020-05-08,52.707802,291476
KY,2020-05-09,79.410202,302305
KY,2020-05-10,49.672001,305392
KY,2020-05-11,42.8452,293074
KY,2020-05-12,46.959702,294640
KY,2020-05-13,47.282799,294853
KY,2020-05-14,58.049,298752
KY,2020-05-15,61.388,301459
KY,2020-05-16,69.882401,304379
KY,2020-05-17,45.768398,298760
KY,2020-05-18,51.620098,307436
KY,2020-05-19,50.2869,297951
KY,2020-05-20,53.222599,295498
KY,2020-05-21,60.505901,296221
KY,2020-05-22,75.163597,298734
KY,2020-05-23,77.411003,307480
KY,2020-05-24,56.348202,302135
KY,2020-05-25,46.0993,294752
KY,2020-05-26,69.012299,308151
KY,2020-05-27,59.016102,292808
KY,2020-05-28,57.8899,290436
KY,2020-05-29,68.335098,309524
KY,2020-05-30,53.997101,287811
KY,2020-05-31,51.244701,294840
KY,2020-06-01,56.565399,290334
KY,2020-06-02,58.277401,289452
KY,2020-06-03,71.958199,289422
LA,2020-01-20,59.1562,354905
LA,2020-01-21,86.893402,363994
LA,2020-01-22,84.332397,366881
LA,2020-01-23,87.317299,369695
LA,2020-01-24,107.2472,367567
LA,2020-01-25,72.4394,358255
LA,2020-01-26,40.276501,355556
LA,2020-01-27,104.4083,605084
LA,2020-01-28,107.0332,607875
LA,2020-01-29,105.3575,609449
LA,2020-01-30,112.5945,605920
LA,2020-01-31,136.81039,613957
LA,2020-02-01,110.0233,586844
LA,2020-02-02,59.158501,570714
LA,2020-02-03,88.239899,375638
LA,2020-02-04,91.476097,383479
LA,2020-02-05,85.291801,384749
LA,2020-02-06,88.786797,380591
LA,2020-02-07,113.1878,380483
LA,2020-02-08,92.135696,371802
LA,2020-02-09,56.1562,369206
LA,2020-02-10,85.318199,384529
LA,2020-02-11,94.973396,382108
LA,2020-02-12,88.454399,382998
LA,2020-02-13,94.495399,356064
LA,2020-02-14,130.7991,368568
LA,2020-02-15,105.2119,370498
LA,2020-02-16,60.319599,360915
LA,2020-02-17,87.262901,371018
LA,2020-02-18,96.843498,374301
LA,2020-02-19,94.078697,376107
LA,2020-02-20,98.5364,378447
LA,2020-02-21,136.3358,377842
LA,2020-02-22,127.4646,368151
LA,2020-02-23,92.626297,355463
LA,2020-02-24,89.500999,366433
LA,2020-02-25,91.003098,361228
LA,2020-02-26,83.9879,362969
LA,2020-02-27,92.706398,369873
LA,2020-02-28,114.4962,363676
LA,2020-02-29,96.854797,359887
LA,2020-03-01,61.658699,359056
LA,2020-03-02,91.778702,373359
LA,2020-03-03,99.750999,373003
LA,2020-03-04,88.665199,375316
LA,2020-03-05,108.7161,368838
LA,2020-03-06,123.6646,363675
LA,2020-03-07,102.9523,357067
LA,2020-03-08,63.698101,348566
LA,2020-03-09,92.625298,363291
LA,2020-03-10,92.350502,360801
LA,2020-03-11,89.645401,322064
LA,2020-03-12,91.679199,344284
LA,2020-03-13,94.954201,352370
LA,2020-03-14,55.998001,339301
LA,2020-03-15,42.1311,340514
LA,2020-03-16,74.536598,348761
LA,2020-03-17,58.180099,345754
LA,2020-03-18,56.191898,338670
LA,2020-03-19,48.605499,339407
LA,2020-03-20,40.7341,341091
LA,2020-03-21,24.775999,323435
