STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
ME,0.00022,0.000204,0.000266,0.000258,0.000162,0.000397,0.008312,0.001325,0.001733,0.000557,0.00039,0.000238,0.000232,0.000253,0.000424,0.000509,0.000258,0.000393,0.000222,0.029948,0.001231,0.945449,0.000238,0.000237,0.000245,0.000228,0.000315,0.0006,0.000229,0.00028,0.145611,0.001372,0.000419,0.000298,0.001977,0.000639,0.000263,0.000203,0.001545,0.012439,0.00044,0.000361,0.000452,0.000169,0.000315,0.000981,0.033099,0.000181,0.000387,0.000539,0.001027
MI,0.005655,0.002032,0.00306,0.003171,0.001331,0.003566,0.0021,0.006278,0.001623,0.00419,0.003314,0.00275,0.00598,0.002305,0.018491,0.063465,0.002246,0.010867,0.001512,0.001993,0.003401,0.003051,0.980509,0.005527,0.004418,0.001846,0.005203,0.003312,0.004061,0.00483,0.001805,0.001956,0.003819,0.005538,0.002855,0.04407,0.002111,0.001337,0.005492,0.001654,0.003494,0.003866,0.006769,0.001599,0.003642,0.003735,0.003644,0.001753,0.022803,0.006632,0.010147
MN,0.01792,0.000935,0.002198,0.003979,0.001421,0.006331,0.00105,0.003053,0.000614,0.002133,0.001647,0.003855,0.057715,0.006737,0.008052,0.004753,0.005993,0.002598,0.000951,0.001312,0.001266,0.001389,0.003774,0.975417,0.00554,0.001105,0.028413,0.001325,0.340516,0.016325,0.001295,0.000861,0.003335,0.005658,0.000945,0.002451,0.003336,0.002902,0.001516,0.001018,0.001299,0.142316,0.00243,0.001317,0.004493,0.001498,0.001822,0.003816,0.115898,0.001714,0.027648
MO,0.005655,0.011417,0.129538,0.010204,0.003164,0.019857,0.001853,0.006912,0.002281,0.008304,0.006433,0.00758,0.065706,0.00931,0.101106,0.020828,0.360734,0.023874,0.008497,0.001901,0.003703,0.002654,0.006053,0.012072,0.954898,0.020638,0.017723,0.004091,0.010348,0.059987,0.002115,0.002033,0.024571,0.009945,0.002135,0.007636,0.06043,0.004239,0.004312,0.001909,0.004596,0.030077,0.02348,0.00847,0.0113,0.004707,0.003826,0.003376,0.011595,0.006188,0.052255
MS,0.002791,0.103906,0.059285,0.004044,0.001368,0.003581,0.000909,0.003974,0.001162,0.018187,0.013442,0.002707,0.00346,0.002454,0.004825,0.003805,0.005378,0.007833,0.138993,0.000711,0.00206,0.001265,0.001456,0.001389,0.014276,0.934827,0.005109,0.004382,0.002194,0.003806,0.000693,0.001139,0.011391,0.003896,0.00087,0.002368,0.01405,0.00115,0.002052,0.000827,0.005621,0.003892,0.08175,0.009581,0.003031,0.003631,0.001215,0.001041,0.001751,0.002539,0.01442
MT,0.0047,0.000504,0.000828,0.001803,0.00095,0.004641,0.000159,0.000461,0.000219,0.00039,0.00053,0.000628,0.001829,0.042655,0.000943,0.000907,0.001649,0.000786,0.000596,0.000179,0.000322,0.000546,0.000502,0.003337,0.001234,0.000639,0.939138,0.0004,0.051382,0.003651,0.000328,0.000221,0.002659,0.003241,0.00023,0.000621,0.001261,0.005107,0.000467,0.000191,0.000424,0.018092,0.000806,0.000628,0.00957,0.000404,0.000243,0.011132,0.001281,0.000434,0.113056
NC,0.005361,0.011327,0.007218,0.004771,0.002281,0.005303,0.012697,0.045504,0.028379,0.018971,0.039579,0.005934,0.004995,0.003227,0.006736,0.010079,0.004098,0.019682,0.007016,0.009453,0.032601,0.013644,0.006437,0.003569,0.006315,0.009252,0.006748,0.957492,0.003013,0.006057,0.010139,0.013137,0.006574,0.006406,0.012285,0.015711,0.00463,0.002479,0.019178,0.011198,0.253318,0.006185,0.045367,0.003687,0.00436,0.122823,0.013907,0.002397,0.004708,0.054337,0.0152
ND,0.002864,0.000206,0.000443,0.000852,0.000245,0.001913,9.7e-05,0.001037,4.4e-05,0.000276,0.000241,0.000325,0.002679,0.00348,0.001001,0.000811,0.001335,0.000393,0.000249,0.00015,0.000186,0.000322,0.000485,0.063512,0.000929,0.000261,0.047586,0.000172,0.95913,0.004424,0.000128,0.000124,0.00108,0.001336,0.000137,0.000411,0.000869,0.001095,0.000262,3.2e-05,0.00021,0.042087,0.000403,0.000327,0.001453,0.000326,0.000182,0.001571,0.003209,0.000381,0.015323
NE,0.003378,0.001238,0.003814,0.004465,0.001793,0.027724,0.000768,0.002477,0.000702,0.001612,0.001397,0.002209,0.124582,0.010589,0.006001,0.003895,0.041067,0.002521,0.00115,0.000728,0.001045,0.000868,0.001869,0.011266,0.018558,0.00179,0.015105,0.001056,0.015359,0.957739,0.000821,0.000808,0.009297,0.007495,0.000806,0.00213,0.006231,0.004169,0.001468,0.000286,0.001076,0.145769,0.00224,0.001994,0.012132,0.00145,0.002004,0.002498,0.004704,0.001354,0.106852
NH,0.000441,0.000214,0.000286,0.000396,0.000219,0.000514,0.019898,0.002477,0.002719,0.000852,0.000442,0.000411,0.000328,0.000253,0.00054,0.000629,0.000271,0.000432,0.000183,0.167559,0.001502,0.205874,0.000295,0.000247,0.000299,0.0002,0.000378,0.000775,0.000295,0.000377,0.92569,0.002298,0.000483,0.000434,0.003925,0.000749,0.000267,0.000164,0.002171,0.04104,0.000799,0.000464,0.000544,0.000217,0.000382,0.001352,0.292785,0.000263,0.000358,0.000677,0.001479
NJ,0.001469,0.001559,0.00204,0.002964,0.001924,0.00285,0.063814,0.060308,0.155186,0.008184,0.004379,0.003617,0.002107,0.002067,0.003686,0.004226,0.001649,0.003248,0.001914,0.028683,0.045905,0.023418,0.002151,0.001785,0.002269,0.001883,0.003311,0.00857,0.001899,0.003178,0.018363,0.957845,0.005381,0.004696,0.155439,0.005961,0.001989,0.001361,0.148953,0.033627,0.00823,0.001546,0.0038,0.00184,0.003031,0.022,0.04482,0.001332,0.001668,0.008282,0.009942
NM,0.001616,0.001821,0.005824,0.031477,0.005048,0.034145,0.000591,0.00144,0.000746,0.00127,0.001545,0.002144,0.003064,0.00638,0.002737,0.002575,0.006609,0.001889,0.003414,0.000612,0.00108,0.000943,0.00082,0.001419,0.004502,0.003146,0.007947,0.001145,0.002915,0.006182,0.000656,0.00085,0.917248,0.01231,0.00071,0.00158,0.014026,0.002784,0.00139,0.000286,0.001185,0.005541,0.002831,0.017282,0.012581,0.001501,0.00079,0.001819,0.001195,0.001227,0.030359
NV,0.010502,0.001813,0.002937,0.04918,0.041072,0.013859,0.001341,0.004896,0.002149,0.002397,0.002767,0.016155,0.005233,0.035531,0.004835,0.003878,0.004769,0.002547,0.002639,0.001595,0.002683,0.001166,0.003445,0.005868,0.004385,0.002004,0.021885,0.001947,0.006943,0.010635,0.001131,0.001832,0.020269,0.921884,0.001878,0.003005,0.005171,0.017176,0.002205,0.00105,0.00164,0.007989,0.002794,0.004953,0.087008,0.002333,0.000911,0.012588,0.00409,0.00147,0.046504
NY,0.002644,0.001979,0.00236,0.003644,0.002679,0.003788,0.209512,0.057197,0.053556,0.010659,0.005409,0.004764,0.00273,0.002543,0.005052,0.005575,0.002006,0.004337,0.001976,0.063236,0.030215,0.040163,0.003925,0.002378,0.00278,0.00185,0.004194,0.009333,0.002456,0.003545,0.039991,0.219842,0.00514,0.005436,0.976871,0.010081,0.002082,0.001697,0.079774,0.060987,0.008914,0.002165,0.004675,0.002285,0.003939,0.019129,0.219543,0.002116,0.002665,0.008769,0.010147
OH,0.005068,0.006667,0.00745,0.005889,0.00208,0.006156,0.006203,0.023501,0.008575,0.009645,0.009025,0.004374,0.010132,0.005384,0.019063,0.095359,0.005969,0.155026,0.003411,0.005437,0.013892,0.007244,0.073368,0.006184,0.010407,0.005323,0.011573,0.015139,0.007434,0.010317,0.005252,0.007078,0.012294,0.007674,0.011107,0.975576,0.006178,0.002573,0.06005,0.004168,0.015915,0.00933,0.024214,0.003255,0.006769,0.018599,0.00996,0.002459,0.010409,0.256061,0.029291
OK,0.005361,0.005659,0.105099,0.011972,0.003063,0.015057,0.001059,0.00288,0.001294,0.00378,0.003063,0.004288,0.010375,0.00589,0.006716,0.005622,0.086732,0.004384,0.010789,0.001,0.001794,0.001488,0.00183,0.005102,0.043227,0.010473,0.010501,0.002017,0.007139,0.018054,0.00093,0.001224,0.049996,0.007521,0.001105,0.003086,0.955197,0.002651,0.002338,0.000859,0.002118,0.014819,0.006117,0.040912,0.007266,0.002748,0.001154,0.00202,0.003839,0.002539,0.03418
