state,date,aggLEX
CA,2020-03-18,0.0718109895378185
CA,2020-03-21,0.06853513010123546
CA,2020-03-25,0.05754486672145798
CA,2020-03-28,0.051850759980964736
CA,2020-04-01,0.03951709841409558
CA,2020-04-04,0.03696480036112748
CA,2020-04-08,0.03259074510215974
CA,2020-04-11,0.031484479057792884
CA,2020-04-15,0.027207846625868733
CA,2020-04-18,0.026881576001790912
CA,2020-04-22,0.026956669079930374
CA,2020-04-25,0.02777805046678905
CA,2020-04-29,0.029216005466300893
CA,2020-05-02,0.03098408454633381
CA,2020-05-06,0.032574800433218316
CA,2020-05-09,0.03533458304189864
CA,2020-05-13,0.03593562356571673
CA,2020-05-16,0.038639164693337766
CA,2020-05-20,0.039227899081495265
CA,2020-05-23,0.04316592149655759
CA,2020-05-27,0.048889031758396366
CA,2020-05-30,0.04977401176844376
CA,2020-06-03,0.05020478237620706
CA,2020-06-06,0.05106761213533741
CA,2020-06-10,0.05059829923056187
CA,2020-06-13,0.05516140667024193
CA,2020-06-17,0.059118923450176705
CA,2020-06-20,0.06571592944457538
CA,2020-06-24,0.0687814845978167
CA,2020-06-27,0.07431801768081
CA,2020-07-01,0.07392010911359712
CA,2020-07-04,0.07878454312623699
CA,2020-07-08,0.07910031872870563
CA,2020-07-11,0.08424841956189102
CA,2020-07-15,0.07772941300490187
CA,2020-07-18,0.08273135570865266
CA,2020-07-22,0.07498190874661592
CA,2020-07-25,0.07778528121722862
CA,2020-07-29,0.07418060181102028
CA,2020-08-01,0.07889616097818263
CA,2020-08-05,0.07487539486495191
CA,2020-08-08,0.07854438765199986
CA,2020-08-12,0.07672871708337295
CA,2020-08-15,0.08365517729206455
CA,2020-08-19,0.07994588773901962
CA,2020-08-22,0.0829952724211912
CA,2020-08-26,0.07768478195527627
CA,2020-08-29,0.0795442899722724
CA,2020-09-02,0.0716484807362649
CA,2020-09-05,0.07746428211731868
CA,2020-09-09,0.07419100060186914
CA,2020-09-12,0.07609990318498686
CA,2020-09-16,0.07315906785813221
CA,2020-09-19,0.07687737992533653
CA,2020-09-23,0.06463956705434973
CA,2020-09-26,0.0687273930304367
CA,2020-09-30,0.06922314739165956
