county,device_count_t,date
27083,2578,2020-04-10
27085,3932,2020-04-10
27091,2000,2020-04-10
27093,2453,2020-04-10
27095,3097,2020-04-10
27097,3410,2020-04-10
27099,3296,2020-04-10
27103,3536,2020-04-10
27105,1885,2020-04-10
27109,11851,2020-04-10
27111,5164,2020-04-10
27115,2968,2020-04-10
27119,2865,2020-04-10
27123,35130,2020-04-10
27127,1798,2020-04-10
27129,1808,2020-04-10
27131,6177,2020-04-10
27135,1286,2020-04-10
27137,11733,2020-04-10
27139,15167,2020-04-10
27141,11950,2020-04-10
27145,14316,2020-04-10
27147,4243,2020-04-10
27153,2452,2020-04-10
27157,2285,2020-04-10
27161,2208,2020-04-10
27163,24647,2020-04-10
27169,3680,2020-04-10
27171,16071,2020-04-10
28001,2319,2020-04-10
28003,4885,2020-04-10
28013,1580,2020-04-10
28017,2181,2020-04-10
28023,2223,2020-04-10
28027,1668,2020-04-10
28029,2766,2020-04-10
28031,2641,2020-04-10
28033,22971,2020-04-10
28035,8537,2020-04-10
28039,3041,2020-04-10
28043,3038,2020-04-10
28045,5659,2020-04-10
28047,20502,2020-04-10
28049,18028,2020-04-10
28057,3324,2020-04-10
28059,14890,2020-04-10
28061,1994,2020-04-10
28067,7205,2020-04-10
28071,5217,2020-04-10
28073,7799,2020-04-10
28075,8490,2020-04-10
28079,2087,2020-04-10
28081,12280,2020-04-10
28083,2462,2020-04-10
28085,4320,2020-04-10
28087,6415,2020-04-10
28089,11625,2020-04-10
28093,4172,2020-04-10
28095,4719,2020-04-10
28099,3527,2020-04-10
28101,2860,2020-04-10
28105,4441,2020-04-10
28107,4226,2020-04-10
28109,6583,2020-04-10
28113,4174,2020-04-10
28115,4345,2020-04-10
28117,3446,2020-04-10
28121,17802,2020-04-10
28123,3339,2020-04-10
28127,3364,2020-04-10
28129,1986,2020-04-10
28131,2201,2020-04-10
28133,2093,2020-04-10
28137,3866,2020-04-10
28139,2675,2020-04-10
28141,2869,2020-04-10
28145,4485,2020-04-10
28149,4540,2020-04-10
28151,3499,2020-04-10
28153,1854,2020-04-10
28159,2069,2020-04-10
28163,2096,2020-04-10
29001,1905,2020-04-10
29003,2482,2020-04-10
29007,2146,2020-04-10
29009,4160,2020-04-10
29013,2052,2020-04-10
29015,2487,2020-04-10
29019,11924,2020-04-10
29021,8559,2020-04-10
29023,4425,2020-04-10
29027,4687,2020-04-10
29029,6550,2020-04-10
29031,7986,2020-04-10
29037,13666,2020-04-10
29043,10786,2020-04-10
29047,26882,2020-04-10
29049,3073,2020-04-10
29051,8001,2020-04-10
29053,2263,2020-04-10
29055,2671,2020-04-10
29059,1963,2020-04-10
29065,1261,2020-04-10
29069,3257,2020-04-10
29071,4485,2020-04-10
29077,28410,2020-04-10
29083,2815,2020-04-10
29095,59932,2020-04-10
29097,13573,2020-04-10
29099,23729,2020-04-10
29101,4986,2020-04-10
29105,4241,2020-04-10
29109,4694,2020-04-10
29113,6874,2020-04-10
29117,1640,2020-04-10
29119,3251,2020-04-10
29121,1914,2020-04-10
29127,3244,2020-04-10
29131,3447,2020-04-10
29135,1862,2020-04-10
29141,2850,2020-04-10
29143,3200,2020-04-10
29145,8398,2020-04-10
29147,2116,2020-04-10
29151,1711,2020-04-10
29155,1874,2020-04-10
29157,2127,2020-04-10
29159,4057,2020-04-10
29161,4875,2020-04-10
29163,1748,2020-04-10
29165,11956,2020-04-10
29167,3581,2020-04-10
29169,3780,2020-04-10
29175,2269,2020-04-10
29183,38886,2020-04-10
29186,2506,2020-04-10
29187,7430,2020-04-10
29189,75840,2020-04-10
29195,2157,2020-04-10
29201,4599,2020-04-10
29207,3322,2020-04-10
29209,4419,2020-04-10
29213,5673,2020-04-10
29215,2119,2020-04-10
29221,2733,2020-04-10
29225,4448,2020-04-10
29510,18280,2020-04-10
30013,4092,2020-04-10
30029,5217,2020-04-10
30031,5454,2020-04-10
30047,1687,2020-04-10
30049,4102,2020-04-10
30063,6044,2020-04-10
30081,2365,2020-04-10
30093,1684,2020-04-10
30111,10153,2020-04-10
31001,3127,2020-04-10
31019,5672,2020-04-10
31025,4480,2020-04-10
31043,2296,2020-04-10
31047,2931,2020-04-10
31053,4093,2020-04-10
31055,43001,2020-04-10
31067,2852,2020-04-10
31079,6225,2020-04-10
31109,25567,2020-04-10
31111,4271,2020-04-10
31119,3923,2020-04-10
31131,2508,2020-04-10
31141,3771,2020-04-10
31153,20608,2020-04-10
31155,3097,2020-04-10
31157,3183,2020-04-10
31159,2371,2020-04-10
31177,2729,2020-04-10
31185,2266,2020-04-10
32001,1739,2020-04-10
